REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
R1595,"Q_RES_0402LF-402,1%,1/16W,CHIPA",402,1%,R0402,7729.36,2258.81,270,NO
R1599,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,15509,2574,90,NO
R1602,"Q_RES_0402LF-4.7K,5%,1/16W,EMPA",4.7K,5%,R0402,4842.36,6837.37,180,NO
R1605,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,6902.85,3303.21,180,NO
R1608,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,6902.85,3343.21,0,NO
R1609,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,4912.36,6837.37,0,NO
R1610,"Q_RES_0402LF-1K,1%,1/16W,EMPTYA",1K,1%,R0402,4379.63,6823.24,270,NO
R1611,"Q_RES_0402LF-1K,1%,1/16W,EMPTYA",1K,1%,R0402,4549.63,6823.24,270,NO
R1612,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,13023.23,2594,90,NO
R1613,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,13103.23,2594,90,NO
R1614,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,4842.36,6797.37,0,NO
R1615,"Q_RES_0402LF-4.7K,5%,1/16W,EMPA",4.7K,5%,R0402,4912.36,6797.37,180,NO
R1616,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,15148,2574,90,NO
R1617,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,15308,2574,90,NO
R1618,"Q_RES_0402LF-4.7K,5%,1/16W,EMPA",4.7K,5%,R0402,4772.36,6797.37,180,NO
R1619,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,5350,6642.39,270,NO
R1620,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,4419.63,6823.24,90,NO
R1621,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,4589.63,6823.24,90,NO
R1622,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,5470.09,6642.39,270,NO
